price,lot_area,living_area,num_floors,num_bedrooms,num_bathrooms,waterfront,year_built,year_renovated
221900,5650,1180,1.0,3,1.0,0,1955,0
538000,7242,2570,2.0,3,2.25,0,1951,1991
180000,10000,770,1.0,2,1.0,0,1933,0
604000,5000,1960,1.0,4,3.0,0,1965,0
510000,8080,1680,1.0,3,2.0,0,1987,0
1225000,101930,5420,1.0,4,4.5,0,2001,0
257500,6819,1715,2.0,3,2.25,0,1995,0
291850,9711,1060,1.0,3,1.5,0,1963,0
229500,7470,1780,1.0,3,1.0,0,1960,0
323000,6560,1890,2.0,3,2.5,0,2003,0
662500,9796,3560,1.0,3,2.5,0,1965,0
468000,6000,1160,1.0,2,1.0,0,1942,0
310000,19901,1430,1.5,3,1.0,0,1927,0
400000,9680,1370,1.0,3,1.75,0,1977,0
530000,4850,1810,1.5,5,2.0,0,1900,0
650000,5000,2950,2.0,4,3.0,0,1979,0
395000,14040,1890,2.0,3,2.0,0,1994,0
485000,4300,1600,1.5,4,1.0,0,1916,0
189000,9850,1200,1.0,2,1.0,0,1921,0
230000,9774,1250,1.0,3,1.0,0,1969,0
385000,4980,1620,1.0,4,1.75,0,1947,0
2000000,44867,3050,1.0,3,2.75,0,1968,0
285000,6300,2270,2.0,5,2.5,0,1995,0
252700,9643,1070,1.0,2,1.5,0,1985,0
329000,6500,2450,2.0,3,2.25,0,1985,0
233000,4697,1710,1.5,3,2.0,0,1941,0
937000,2691,2450,2.0,3,1.75,0,1915,0
667000,1581,1400,1.5,3,1.0,0,1909,0
438000,6380,1520,1.0,3,1.75,0,1948,0
719000,7173,2570,2.0,4,2.5,0,2005,0
580500,3980,2320,2.0,3,2.5,0,2003,0
280000,1265,1190,3.0,2,1.5,0,2005,0
687500,5000,2330,1.5,4,1.75,0,1929,0
535000,3000,1090,1.5,3,1.0,0,1929,0
322500,6659,2060,1.0,4,2.75,0,1981,0
696000,3060,2300,1.5,3,2.5,0,1930,2002
550000,34848,1660,1.0,4,1.0,0,1933,0
640000,6000,2360,2.0,4,2.0,0,1904,0
240000,8075,1220,1.0,4,1.0,0,1969,0
605000,7553,2620,2.0,4,2.5,0,1996,0
625000,5520,2570,2.0,4,2.5,0,2000,0
775000,24186,4220,1.0,4,2.25,0,1984,0
861990,5639,3595,2.0,5,2.75,0,2014,0
685000,2280,1570,2.0,3,1.0,0,1922,0
309000,9656,1280,1.0,3,1.0,0,1959,0
